Year,Price1,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Gas_Price,,
2023,25,-0.965925826,-0.258819045,0.8660254037844387,-0.5,36.23,,
2023,25,-0.965925826,-0.258819045,0.8660254037844387,-0.5,39.42,,
2023,25,-0.965925826,-0.258819045,0.8660254037844387,-0.5,50.65,,
2023,29.61,-1,-1.84E-16,0.8660254037844387,-0.5,34.69,,
2023,29.61,-1,-1.84E-16,0.8660254037844387,-0.5,36.23,,
2023,29.61,-1,-1.84E-16,0.8660254037844387,-0.5,39.42,,
2023,29.61,-1,-1.84E-16,0.8660254037844387,-0.5,50.65,,
2023,49.31,-0.965925826,0.2588190451025203,0.8660254037844387,-0.5,34.69,,
2023,49.31,-0.965925826,0.2588190451025203,0.8660254037844387,-0.5,36.23,,
2023,49.31,-0.965925826,0.2588190451025203,0.8660254037844387,-0.5,39.42,,
