Year,Month,Day,Hour,DA,ID,Price_EUR_MWh,Volume_MWh,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Diff
2024.0,11.0,9.0,11.0,109.97,112.58,,,0.258819045102521,-0.9659258262890682,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.6099999999999994
2024.0,11.0,9.0,12.0,106.4,102.91,,,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.490000000000009
2024.0,11.0,9.0,13.0,100.37,100.71,,,-0.2588190451025208,-0.9659258262890683,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.3399999999999892
2024.0,11.0,9.0,14.0,96.8,98.75,,,-0.4999999999999997,-0.8660254037844388,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-1.9500000000000028
2024.0,11.0,9.0,15.0,93.23,96.2,,,-0.7071067811865471,-0.7071067811865479,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.969999999999999
2024.0,11.0,9.0,16.0,90.2,97.11,,,-0.8660254037844384,-0.5000000000000004,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-6.909999999999997
2024.0,11.0,9.0,17.0,114.08,81.49,,,-0.9659258262890683,-0.25881904510252063,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,32.59
2024.0,11.0,9.0,18.0,130.04,122.39,,,-1.0,-1.8369701987210297e-16,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,7.6499999999999915
2024.0,11.0,9.0,19.0,133.34,134.32,,,-0.9659258262890684,0.2588190451025203,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.9799999999999898
2024.0,11.0,9.0,20.0,134.86,132.6,,,-0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,2.2600000000000193
2024.0,11.0,9.0,21.0,128.32,123.74,,,-0.7071067811865477,0.7071067811865474,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,4.579999999999998
2024.0,11.0,9.0,22.0,117.96,114.43,,,-0.5000000000000004,0.8660254037844384,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.529999999999987
2024.0,11.0,9.0,23.0,114.53,110.77,,,-0.25881904510252157,0.9659258262890681,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.760000000000005
2024.0,11.0,9.0,24.0,110.1,101.85,,,-2.4492935982947064e-16,1.0,0.9680771188662043,-0.2506525322587204,-0.5000000000000004,0.8660254037844384,0.7000000000000001,8.25
2024.0,11.0,10.0,1.0,104.99,103.12,,,0.25881904510252074,0.9659258262890683,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,1.8699999999999903
2024.0,11.0,10.0,2.0,102.28,95.33,,,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,6.950000000000003
2024.0,11.0,10.0,3.0,97.69,94.92,,,0.7071067811865475,0.7071067811865476,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,2.769999999999996
2024.0,11.0,10.0,4.0,92.52,87.78,,,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,4.739999999999995
2024.0,11.0,10.0,5.0,90.0,83.4,,,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,6.599999999999994
2024.0,11.0,10.0,6.0,89.18,77.1,,,1.0,6.123233995736766e-17,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,12.080000000000013
2024.0,11.0,10.0,7.0,95.09,91.35,,,0.9659258262890683,-0.25881904510252063,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,3.740000000000009
2024.0,11.0,10.0,8.0,102.45,96.42,,,0.8660254037844387,-0.4999999999999998,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,6.030000000000001
2024.0,11.0,10.0,9.0,97.95,85.24,,,0.7071067811865476,-0.7071067811865475,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,12.710000000000008
2024.0,11.0,10.0,10.0,82.78,79.85,,,0.49999999999999994,-0.8660254037844387,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,2.930000000000007
2024.0,11.0,10.0,11.0,65.2,67.92,,,0.258819045102521,-0.9659258262890682,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.719999999999999
2024.0,11.0,10.0,12.0,50.0,43.24,,,1.2246467991473532e-16,-1.0,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,6.759999999999998
2024.0,11.0,10.0,13.0,48.4,15.31,,,-0.2588190451025208,-0.9659258262890683,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,33.089999999999996
2024.0,11.0,10.0,14.0,49.01,17.37,,,-0.4999999999999997,-0.8660254037844388,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,31.639999999999997
2024.0,11.0,10.0,15.0,49.01,29.73,,,-0.7071067811865471,-0.7071067811865479,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,19.279999999999998
2024.0,11.0,10.0,16.0,50.24,50.28,,,-0.8660254037844384,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-0.03999999999999915
2024.0,11.0,10.0,17.0,83.2,85.62,,,-0.9659258262890683,-0.25881904510252063,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,-2.4200000000000017
2024.0,11.0,10.0,18.0,116.0,95.14,,,-1.0,-1.8369701987210297e-16,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,20.86
2024.0,11.0,10.0,19.0,127.99,109.1,,,-0.9659258262890684,0.2588190451025203,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,18.89
2024.0,11.0,10.0,20.0,128.02,123.85,,,-0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,4.170000000000016
2024.0,11.0,10.0,21.0,125.31,116.48,,,-0.7071067811865477,0.7071067811865474,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,8.829999999999998
2024.0,11.0,10.0,22.0,115.28,107.35,,,-0.5000000000000004,0.8660254037844384,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,7.930000000000007
2024.0,11.0,10.0,23.0,111.1,103.74,,,-0.25881904510252157,0.9659258262890681,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,7.359999999999999
2024.0,11.0,10.0,24.0,108.02,94.36,,,-2.4492935982947064e-16,1.0,0.8978045395707416,-0.4403941515576344,-0.5000000000000004,0.8660254037844384,0.7000000000000001,13.659999999999997
2024.0,11.0,11.0,1.0,109.0,91.48,,,0.25881904510252074,0.9659258262890683,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,17.519999999999996
2024.0,11.0,11.0,2.0,101.71,92.13,,,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,9.579999999999998
2024.0,11.0,11.0,3.0,99.39,87.45,,,0.7071067811865475,0.7071067811865476,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,11.939999999999998
2024.0,11.0,11.0,4.0,85.38,84.58,,,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,-0.5000000000000004,0.8660254037844384,0.7000000000000001,0.7999999999999972
