Year,Month,Day,Hour,DA ES
2023.0,1.0,22.0,22.0,124.51
2023.0,1.0,22.0,23.0,75.0
2023.0,1.0,22.0,24.0,55.16
2023.0,1.0,23.0,1.0,50.0
2023.0,1.0,23.0,2.0,39.58
2023.0,1.0,23.0,3.0,34.44
2023.0,1.0,23.0,4.0,37.78
2023.0,1.0,23.0,5.0,37.78
2023.0,1.0,23.0,6.0,40.01
2023.0,1.0,23.0,7.0,50.0
2023.0,1.0,23.0,8.0,63.0
2023.0,1.0,23.0,9.0,88.65
2023.0,1.0,23.0,10.0,95.01
2023.0,1.0,23.0,11.0,63.0
2023.0,1.0,23.0,12.0,59.6
2023.0,1.0,23.0,13.0,59.16
2023.0,1.0,23.0,14.0,59.16
2023.0,1.0,23.0,15.0,54.0
2023.0,1.0,23.0,16.0,53.8
2023.0,1.0,23.0,17.0,59.6
2023.0,1.0,23.0,18.0,65.0
2023.0,1.0,23.0,19.0,109.0
2023.0,1.0,23.0,20.0,156.4
2023.0,1.0,23.0,21.0,157.22
2023.0,1.0,23.0,22.0,150.5
2023.0,1.0,23.0,23.0,78.59
2023.0,1.0,23.0,24.0,64.8
2023.0,1.0,24.0,1.0,63.0
2023.0,1.0,24.0,2.0,51.9
2023.0,1.0,24.0,3.0,48.62
2023.0,1.0,24.0,4.0,47.85
2023.0,1.0,24.0,5.0,49.67
2023.0,1.0,24.0,6.0,51.9
2023.0,1.0,24.0,7.0,60.3
2023.0,1.0,24.0,8.0,80.03
2023.0,1.0,24.0,9.0,95.0
2023.0,1.0,24.0,10.0,88.02
2023.0,1.0,24.0,11.0,65.0
2023.0,1.0,24.0,12.0,63.16
2023.0,1.0,24.0,13.0,64.0
2023.0,1.0,24.0,14.0,64.02
2023.0,1.0,24.0,15.0,64.0
2023.0,1.0,24.0,16.0,64.0
2023.0,1.0,24.0,17.0,64.02
2023.0,1.0,24.0,18.0,94.0
2023.0,1.0,24.0,19.0,138.17
2023.0,1.0,24.0,20.0,220.0
2023.0,1.0,24.0,21.0,218.08
2023.0,1.0,24.0,22.0,156.0
2023.0,1.0,24.0,23.0,103.01
2023.0,1.0,24.0,24.0,85.0
2023.0,1.0,25.0,1.0,100.0
2023.0,1.0,25.0,2.0,84.87
2023.0,1.0,25.0,3.0,70.0
2023.0,1.0,25.0,4.0,66.81
2023.0,1.0,25.0,5.0,66.81
2023.0,1.0,25.0,6.0,70.01
2023.0,1.0,25.0,7.0,79.01
2023.0,1.0,25.0,8.0,99.76
2023.0,1.0,25.0,9.0,132.96
2023.0,1.0,25.0,10.0,106.01
2023.0,1.0,25.0,11.0,87.38
2023.0,1.0,25.0,12.0,66.81
2023.0,1.0,25.0,13.0,65.33
2023.0,1.0,25.0,14.0,65.0
2023.0,1.0,25.0,15.0,64.99
2023.0,1.0,25.0,16.0,64.8
2023.0,1.0,25.0,17.0,64.8
2023.0,1.0,25.0,18.0,91.16
2023.0,1.0,25.0,19.0,118.47
2023.0,1.0,25.0,20.0,210.34
2023.0,1.0,25.0,21.0,192.28
2023.0,1.0,25.0,22.0,117.01
2023.0,1.0,25.0,23.0,88.65
