Year,Month,Day,Hour,DA,ID,Diff,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Gas_Price
2023,8.0,8.0,1.0,106.0,135.22,-29.22,0.25881904510252074,0.9659258262890683,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,2.0,104.37,135.31,-30.939999999999998,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,3.0,99.93,135.22,-35.28999999999999,0.7071067811865475,0.7071067811865476,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,4.0,99.41,119.31,-19.900000000000006,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,5.0,91.69,123.01,-31.320000000000007,0.9659258262890683,0.25881904510252074,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,6.0,92.54,123.01,-30.47,1.0,6.123233995736766e-17,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,7.0,96.32,128.5,-32.18000000000001,0.9659258262890683,-0.25881904510252063,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,8.0,99.93,150.01,-50.079999999999984,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,9.0,99.93,124.82,-24.889999999999986,0.7071067811865476,-0.7071067811865475,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,10.0,98.15,110.0,-11.849999999999994,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,11.0,85.52,93.31,-7.790000000000006,0.258819045102521,-0.9659258262890682,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,12.0,78.69,124.44,-45.75,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,13.0,78.69,102.99,-24.299999999999997,-0.2588190451025208,-0.9659258262890683,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,14.0,79.7,103.95,-24.25,-0.4999999999999997,-0.8660254037844388,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,15.0,79.7,103.99,-24.289999999999992,-0.7071067811865471,-0.7071067811865479,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,16.0,78.5,102.0,-23.5,-0.8660254037844384,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,17.0,78.5,100.26,-21.760000000000005,-0.9659258262890683,-0.25881904510252063,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,18.0,80.46,97.64,-17.180000000000007,-1.0,-1.8369701987210297e-16,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,19.0,95.34,128.5,-33.16,-0.9659258262890684,0.2588190451025203,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,20.0,102.0,138.19,-36.19,-0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,21.0,116.0,139.55,-23.55000000000001,-0.7071067811865477,0.7071067811865474,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,22.0,127.66,170.0,-42.34,-0.5000000000000004,0.8660254037844384,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,23.0,125.44,160.0,-34.56,-0.25881904510252157,0.9659258262890681,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,8.0,24.0,120.0,140.0,-20.0,-2.4492935982947064e-16,1.0,0.9987165071710528,-0.05064916883871264,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,1.0,109.77,118.0,-8.230000000000004,0.25881904510252074,0.9659258262890683,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,2.0,102.0,107.5,-5.5,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,3.0,102.0,107.0,-5.0,0.7071067811865475,0.7071067811865476,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
2023,8.0,9.0,4.0,100.0,105.0,-5.0,0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204,-0.8660254037844384,-0.5000000000000004,0.6,
