"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2023","86.14","83.75","87.30","83.50","17.41K","3.35%"
"06/08/2023","83.35","83.99","84.95","82.63","15.10K","-0.61%"
"06/07/2023","83.86","81.64","84.19","80.10","18.61K","2.72%"
"06/06/2023","81.64","83.00","83.48","80.28","17.91K","-1.47%"
"06/05/2023","82.86","79.05","83.25","78.01","23.97K","5.53%"
"06/02/2023","78.52","78.95","80.47","78.52","15.52K","-0.54%"
"06/01/2023","78.95","80.78","81.10","78.47","22.48K","-2.25%"
"05/31/2023","80.77","80.45","81.97","79.32","21.92K","0.49%"
"05/30/2023","80.38","83.05","83.34","80.36","24.55K","-3.16%"
"05/29/2023","83.00","83.01","84.46","82.67","4.74K","-0.16%"
"05/26/2023","83.13","82.75","83.37","81.94","14.76K","0.61%"
"05/25/2023","82.63","85.03","85.15","82.63","20.74K","-2.55%"
"05/24/2023","84.79","85.81","86.26","84.55","13.80K","-1.18%"
"05/23/2023","85.80","87.40","87.72","85.36","16.12K","-1.66%"
"05/22/2023","87.25","89.43","89.71","86.77","15.35K","-2.44%"
"05/19/2023","89.43","89.66","91.24","89.33","12.79K","-0.25%"
"05/18/2023","89.65","88.49","90.21","87.92","9.13K","1.83%"
"05/17/2023","88.04","88.77","89.75","87.55","11.44K","-1.00%"
"05/16/2023","88.93","87.14","89.20","86.66","13.11K","2.05%"
"05/15/2023","87.14","88.50","89.19","86.13","15.99K","-2.01%"
"05/12/2023","88.93","88.54","89.67","88.14","9.38K","0.41%"
"05/11/2023","88.57","89.22","90.12","87.68","16.42K","-0.55%"
"05/10/2023","89.06","87.69","89.75","87.20","16.36K","1.77%"
"05/09/2023","87.51","85.57","87.75","85.20","14.24K","2.24%"
"05/08/2023","85.59","85.00","85.99","84.50","6.33K","0.74%"
"05/05/2023","84.96","84.66","86.90","84.30","12.00K","0.54%"
"05/04/2023","84.50","85.29","85.71","83.25","17.53K","-0.76%"
"05/03/2023","85.15","89.00","89.35","84.00","24.91K","-3.81%"
"05/02/2023","88.52","85.66","90.82","85.42","21.01K","3.37%"
"05/01/2023","85.63","87.39","88.36","85.50","4.52K","-2.30%"
"04/28/2023","87.65","86.49","88.11","86.13","11.92K","1.12%"
"04/27/2023","86.68","85.94","87.90","85.40","18.54K","0.51%"
"04/26/2023","86.24","86.90","87.00","85.16","19.49K","-0.66%"
"04/25/2023","86.81","88.58","88.91","86.53","20.94K","-1.98%"
"04/24/2023","88.56","90.11","90.11","87.59","17.79K","-1.45%"
"04/21/2023","89.86","91.95","92.41","89.25","16.35K","-2.05%"
"04/20/2023","91.74","94.45","94.66","91.18","18.42K","-2.81%"
"04/19/2023","94.39","95.30","96.47","94.18","12.80K","-0.80%"
"04/18/2023","95.15","92.98","95.60","92.33","14.37K","2.41%"
"04/17/2023","92.91","94.14","94.75","92.16","11.40K","-1.28%"
"04/14/2023","94.11","94.39","94.99","93.16","11.55K","-0.30%"
"04/13/2023","94.39","96.15","96.50","93.10","14.93K","-1.95%"
"04/12/2023","96.27","97.53","98.21","95.09","16.89K","-1.23%"
"04/11/2023","97.47","96.75","98.43","96.72","12.46K","0.74%"
"04/06/2023","96.75","97.00","97.90","96.00","","-0.27%"
"04/05/2023","97.01","94.97","98.00","94.78","17.83K","2.14%"
"04/04/2023","94.98","96.00","97.35","94.63","15.77K","-1.06%"
"04/03/2023","96.00","91.75","96.16","91.69","15.34K","4.63%"
"03/31/2023","91.75","90.93","92.89","90.71","14.19K","1.05%"
"03/30/2023","90.80","90.43","91.76","89.55","15.57K","0.87%"
"03/29/2023","90.02","89.47","91.10","89.33","12.36K","0.69%"
"03/28/2023","89.40","87.62","90.56","87.62","15.63K","1.44%"
"03/27/2023","88.13","88.02","89.19","86.73","13.64K","0.33%"
"03/24/2023","87.84","92.75","94.12","86.64","26.02K","-5.65%"
"03/23/2023","93.10","89.92","93.30","89.50","16.29K","3.78%"
"03/22/2023","89.71","90.44","90.78","88.40","16.77K","-0.81%"
"03/21/2023","90.44","87.85","91.50","87.65","19.13K","2.95%"
"03/20/2023","87.85","87.27","89.15","84.75","21.95K","-0.62%"
"03/17/2023","88.40","88.25","89.95","86.01","19.72K","0.61%"
"03/16/2023","87.86","89.77","91.79","86.25","29.12K","-1.54%"
"03/15/2023","89.23","92.98","95.43","89.00","30.85K","-3.92%"
"03/14/2023","92.87","95.66","96.85","92.40","21.47K","-2.76%"
"03/13/2023","95.51","100.16","100.16","95.24","26.21K","-4.65%"
"03/10/2023","100.17","99.00","100.34","98.28","16.23K","0.88%"
"03/09/2023","99.30","97.80","99.83","96.59","19.43K","1.50%"
"03/08/2023","97.83","95.98","99.00","95.90","16.93K","1.97%"
"03/07/2023","95.94","93.23","96.80","92.80","16.95K","3.22%"
"03/06/2023","92.95","92.36","94.63","92.10","13.20K","0.74%"
"03/03/2023","92.27","93.00","93.51","91.55","16.75K","-0.78%"
"03/02/2023","93.00","96.93","98.39","92.90","21.15K","-4.23%"
"03/01/2023","97.11","99.73","99.76","96.42","16.95K","-2.44%"
"02/28/2023","99.54","100.06","100.65","99.03","15.07K","-0.75%"
"02/27/2023","100.29","97.40","100.64","97.36","15.56K","2.49%"
"02/24/2023","97.85","97.09","100.15","96.83","14.91K","1.20%"
"02/23/2023","96.69","96.07","98.17","95.91","12.71K","0.40%"
"02/22/2023","96.30","99.98","100.60","95.95","16.52K","-3.82%"
"02/21/2023","100.12","98.05","101.18","96.63","19.56K","1.85%"
"02/20/2023","98.30","96.30","99.99","95.90","16.18K","2.36%"
"02/17/2023","96.03","98.15","98.45","95.53","13.93K","-1.86%"
"02/16/2023","97.85","94.51","98.31","94.21","18.74K","3.45%"
"02/15/2023","94.59","91.77","94.94","90.50","15.40K","3.50%"
"02/14/2023","91.39","92.28","93.50","89.91","16.66K","-1.14%"
"02/13/2023","92.44","93.13","93.99","91.68","11.31K","-0.94%"
"02/10/2023","93.32","91.29","93.32","90.63","12.27K","2.19%"
"02/09/2023","91.32","90.40","92.98","89.95","14.59K","1.03%"
"02/08/2023","90.39","90.60","92.05","89.18","12.91K","-0.12%"
"02/07/2023","90.50","91.29","92.35","89.18","15.95K","-0.75%"
"02/06/2023","91.18","93.85","95.98","90.54","16.67K","-2.66%"
"02/03/2023","93.67","94.24","96.00","93.06","14.01K","0.09%"
"02/02/2023","93.59","95.45","97.13","91.81","20.71K","-2.10%"
"02/01/2023","95.60","93.36","97.55","92.25","24.51K","2.80%"
"01/31/2023","93.00","89.80","93.64","88.99","23.08K","3.55%"
"01/30/2023","89.81","89.54","90.32","87.52","16.64K","0.29%"
"01/27/2023","89.55","89.30","90.70","88.63","19.01K","0.18%"
"01/26/2023","89.39","84.55","89.60","84.01","22.43K","5.54%"
"01/25/2023","84.70","81.71","85.00","81.00","17.93K","3.33%"
"01/24/2023","81.97","84.80","84.85","81.53","19.16K","-2.95%"
"01/23/2023","84.46","84.95","85.92","83.75","12.76K","-0.74%"
"01/20/2023","85.09","84.05","85.30","83.43","12.87K","0.99%"
"01/19/2023","84.26","83.32","85.35","83.13","16.89K","0.52%"
"01/18/2023","83.82","79.29","83.86","78.31","18.73K","5.54%"
"01/17/2023","79.42","77.55","80.20","77.07","17.15K","2.45%"
"01/16/2023","77.52","79.72","79.75","77.37","16.42K","-2.65%"
"01/13/2023","79.63","80.50","80.56","78.21","13.86K","-0.67%"
"01/12/2023","80.17","78.77","80.86","78.50","11.81K","1.44%"
"01/11/2023","79.03","80.54","81.64","78.51","15.43K","-2.19%"
"01/10/2023","80.80","81.78","82.51","80.07","11.72K","-0.25%"
"01/09/2023","81.00","77.64","81.88","77.01","16.09K","4.35%"
"01/06/2023","77.62","78.61","79.64","77.08","9.40K","-1.16%"
"01/05/2023","78.53","77.52","79.75","77.00","15.42K","1.33%"
"01/04/2023","77.50","82.71","84.12","77.25","18.11K","-6.56%"
"01/03/2023","82.94","85.12","86.17","81.87","11.74K","-2.79%"
"01/02/2023","85.32","82.45","86.87","82.40","2.19K","3.72%"
